"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","INTERSECTION_RELATED","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","ROADWAY_CLEARED","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023033412","2013","0","0","0","0","0","0","0","0","0","5","0","","67","03","2023","3","39.9369","-75.1992","1952","06","0","0","0","0","0","0","0","0","","0","0","0","19","3","0","00","N","0","39 56:12.700","","03","75 11:57.259","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1","01","","N","N","N","0","","0","0","1","0","0","","1947","0","2","0","0","0","0","0","2","1","2","03","","N","","","","","","","","","","",""
"2023041614","2023","1","0","0","0","0","0","0","0","0","4","0","","67","05","2023","7","40.0489","-75.0017","2019","06","0","0","0","0","0","0","0","0","","0","0","0","20","3","1","00","N","1","40 02:56.173","3","00","75 00:06.142","3","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1","01","2100","N","N","N","0","","1","0","1","0","0","N","2014","1","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023040735","1150","1","0","0","0","0","0","0","0","0","4","0","","67","05","2023","1","40.0751","-75.0017","1149","06","0","0","0","0","0","1","0","0","","0","0","0","11","1","2","00","N","0","40 04:30.442","","00","75 00:05.959","4","0","0","0","67301","0","0","0","N","0","0","0","3","67301","2","","1","01","","N","N","N","0","","0","0","0","3","2","","1130","2","2","0","0","0","0","0","2","1","2","03","03","N","","","","","","","","","","",""
"2023037575","2337","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","3","40.0745","-75.035","2331","06","0","0","0","0","0","0","0","0","","0","0","0","22","3","0","01","","1","40 04:28.071","2","00","75 02:05.821","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","0025","N","N","N","0","","0","0","0","3","2","N","2220","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023038848","1524","2","0","0","0","0","0","0","0","0","4","0","","67","04","2023","6","40.0295","-75.0677","1509","06","0","0","0","0","1","0","0","0","","0","0","0","15","1","1","01","","0","40 01:46.153","","00","75 04:03.766","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","09","","N","N","N","0","","1","0","0","3","3","","1500","1","2","0","0","0","0","1","2","0","2","07","","N","","","","","","","","","","",""
"2023036214","1725","0","0","0","0","0","0","0","0","0","7","0","","67","04","2023","1","40.006","-75.1237","1725","06","0","0","0","0","0","1","0","0","","0","0","0","09","8","1","00","N","0","40 00:21.704","","01","75 07:25.281","8","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","4","01","","N","N","N","0","","0","0","1","0","0","","0920","1","1","0","0","0","1","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023051433","1535","1","0","0","0","0","0","0","0","0","1","0","","67","06","2023","5","40.09","-74.9681","1523","06","0","0","0","0","0","0","0","0","","0","0","0","14","1","1","02","","0","40 05:23.898","","00","74 58:05.120","8","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","4","01","","N","N","N","0","","0","0","1","3","3","","1408","1","2","0","0","0","1","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023046842","2102","2","0","0","0","0","0","0","0","0","5","0","","67","05","2023","5","40.0558","-75.2325","2053","06","0","1","0","0","0","0","0","0","","0","0","0","20","3","1","00","N","0","40 03:20.950","","00","75 13:56.879","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","1","0","0","0","0","","2048","1","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023033961","0958","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","2","39.9571","-75.2083","0958","06","0","0","0","0","0","1","0","0","","0","0","0","06","1","0","01","","0","39 57:25.686","","00","75 12:29.862","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","","N","N","Y","0","","0","0","1","3","3","","0650","0","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023035819","1535","0","0","0","0","0","0","0","0","0","1","0","","67","04","2023","4","39.9927","-75.1448","1528","06","0","0","0","0","0","1","0","0","","0","0","0","15","1","2","00","N","0","39 59:33.834","","00","75 08:41.242","8","0","0","0","67301","1","0","0","N","1","0","0","3","67301","0","","1","01","","N","N","Y","1","","0","0","3","0","0","","1504","2","5","0","0","0","2","1","2","0","4","03","","N","","","","","","","","","","",""
"2023035813","1550","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","7","39.9311","-75.1923","1545","06","0","1","0","0","0","0","0","0","","0","0","0","15","1","1","01","","0","39 55:51.794","","00","75 11:32.341","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","1","0","1","3","3","","1530","1","2","0","0","1","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023036564","1445","1","0","0","0","0","0","0","0","0","1","0","","67","04","2023","5","39.9937","-75.0845","1430","06","0","0","0","0","0","0","0","0","","0","0","0","14","1","1","00","N","0","39 59:37.341","","00","75 05:04.114","8","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1","01","","N","N","N","0","","0","0","1","0","0","","1427","1","3","0","0","0","1","0","2","1","3","03","","N","","","","","","","","","","",""
"2023035538","1217","1","0","0","0","0","0","0","0","0","4","0","","67","04","2023","3","40.0426","-75.1292","1214","06","0","0","0","0","0","1","0","0","","0","0","0","12","1","2","01","","1","40 02:33.277","6","00","75 07:44.961","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","1320","N","N","N","0","","2","0","1","3","2","Y","1214","2","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023036345","1815","1","0","0","0","0","0","0","0","0","8","0","","67","04","2023","6","40.0025","-75.1726","1810","06","0","0","0","0","0","0","0","0","","0","0","0","17","1","1","01","","0","40 00:09.001","","00","75 10:21.499","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","01","","N","N","N","0","","1","0","0","3","3","","1740","1","2","0","0","1","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023035381","0610","2","0","0","0","0","0","0","0","0","4","0","","67","04","2023","2","39.9602","-75.2391","0603","06","0","0","1","0","0","0","0","0","","0","0","0","06","5","0","01","","2","39 57:36.724","3","00","75 14:20.773","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","09","0815","N","N","Y","0","","0","0","1","3","2","Y","0600","0","4","0","0","1","0","0","2","1","4","07","","N","","","","","","","","","","",""
"2023048010","0757","0","0","0","0","0","0","0","0","0","1","1","","67","05","2023","4","40.0784","-75.0244","0755","06","0","0","0","0","0","1","0","0","","0","1","0","07","1","0","00","N","1","40 04:42.169","3","00","75 01:27.726","0","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","0850","N","N","N","0","","0","0","1","0","0","N","0743","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023035812","2056","1","0","0","0","0","0","0","0","0","8","0","","67","04","2023","7","39.9736","-75.2097","2056","06","0","0","0","0","0","0","0","0","","0","0","0","20","2","1","00","N","1","39 58:24.849","4","00","75 12:34.991","8","0","0","0","67301","1","0","0","N","1","0","0","3","67301","0","","1","09","2056","N","N","N","0","","0","0","0","0","0","N","2053","1","2","0","0","0","1","0","2","0","1","07","07","N","","","","","","","","","","",""
