"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","INTERSECTION_RELATED","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","ROADWAY_CLEARED","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023078947","1354","1","0","0","0","0","0","0","0","0","4","0","","67","06","2022","1","40.0081","-75.0725","1347","06","0","0","0","0","0","0","0","0","","0","0","0","13","1","0","01","","0","40 00:29.331","","00","75 04:20.880","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","","N","N","N","1","","0","0","0","3","2","","1343","0","2","0","0","1","0","0","2","0","2","03","04","N","","","","","","","","","","",""
"2023093875","2333","2","0","0","0","0","0","0","0","0","4","0","","67","03","2022","4","39.9566","-75.198","2329","06","0","0","1","0","0","0","0","0","","0","0","0","23","3","1","01","","0","39 57:24.202","","00","75 11:53.285","3","0","0","0","67301","0","0","0","N","0","0","0","3","67504","0","","1","01","","N","N","N","0","","1","0","0","3","2","","2329","1","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023005837","2320","1","0","0","0","0","0","0","0","0","4","0","","67","01","2022","3","39.9902","-75.1259","2320","06","0","0","0","0","0","0","0","0","","0","0","0","21","3","2","02","","0","39 59:24.981","","00","75 07:33.321","8","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","0","0","0","3","3","","2150","2","2","0","0","1","2","0","2","1","2","03","03","N","","","","","","","","","","",""
"2023013337","0950","2","0","0","0","0","0","0","0","0","1","0","","67","11","2022","3","40.0189","-75.1903","0948","06","0","0","0","0","0","0","0","0","","0","0","0","09","1","2","00","N","0","40 01:08.062","","00","75 11:25.101","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","6","09","","N","N","N","1","","2","0","0","0","0","","0946","2","3","0","0","1","0","1","2","0","3","07","04","N","","","","","","","","","","",""
"2023007904","","1","0","0","0","0","0","0","0","0","1","0","","67","06","2022","3","","","","06","0","0","0","0","0","1","0","0","","0","0","0","12","1","1","00","N","0","","","00","","8","0","0","0","67301","0","0","0","N","0","0","0","2","00000","0","","1","01","","","","N","0","","0","0","0","0","0","","1240","1","2","0","0","0","1","0","1","0","2","03","","N","","","","","","","","","","",""
"2023007894","","2","0","0","0","0","0","0","0","0","1","0","","67","10","2022","4","39.9057","-75.1939","","06","0","0","0","0","0","0","0","0","","0","0","0","08","1","1","01","","0","39 54:20.725","","00","75 11:37.765","8","0","0","0","67301","0","0","0","N","0","0","0","2","00000","0","","1","01","","","","N","0","","0","0","0","3","2","","0805","1","2","0","0","1","1","0","2","0","2","03","","N","","","","","","","","","","",""
"2023005749","1815","2","0","0","0","0","0","0","0","0","1","0","","67","12","2022","7","39.9483","-75.1865","1807","06","0","0","0","0","0","1","0","0","","0","0","0","18","3","0","00","N","0","39 56:53.948","","00","75 11:11.265","0","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1","01","","N","N","N","0","","0","0","0","0","0","","1804","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023006299","1100","2","0","0","0","0","0","0","0","0","2","0","","67","12","2022","3","40.0133","-75.1087","1100","06","0","0","0","0","0","0","0","0","","0","0","0","17","3","2","01","","0","40 00:47.721","","00","75 06:31.269","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","1","","1","01","","N","N","N","0","","1","0","0","3","3","","1730","2","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023006238","0754","0","0","0","0","0","0","0","0","0","7","0","","67","11","2022","1","40.0391","-75.0085","0741","06","0","0","0","0","0","0","0","0","","0","0","0","07","1","1","00","N","1","40 02:20.605","2","00","75 00:30.575","8","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","3","01","0822","N","N","N","0","","0","0","1","0","0","N","0740","1","1","0","0","0","1","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023006293","1040","1","0","0","0","0","0","0","0","0","5","0","","67","09","2022","5","39.9924","-75.1209","1030","06","0","0","0","0","0","1","0","0","","0","0","0","10","1","1","00","N","0","39 59:32.630","","01","75 07:15.180","4","0","0","0","67301","0","0","0","N","0","0","0","2","67301","1","","1","01","","N","N","N","0","","0","0","1","0","0","","1015","1","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023005843","2108","2","0","1","0","0","0","0","0","0","2","0","","67","01","2022","3","40.0452","-75.1252","2105","06","0","0","0","0","0","1","0","0","","0","0","0","21","3","1","00","N","2","40 02:42.780","6","00","75 07:30.855","2","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","2300","N","N","N","0","","0","1","0","0","0","Y","2104","1","3","0","0","0","0","1","2","1","3","03","03","N","","","","","","","","","","",""
"2023006782","0334","1","0","0","0","0","0","0","0","0","7","0","","67","11","2022","4","40.0014","-75.079","0334","06","0","0","0","0","0","0","0","0","","0","0","0","03","3","0","00","N","1","40 00:05.185","2","00","75 04:44.378","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","2","01","0400","N","N","N","0","","0","0","0","0","0","N","0334","0","1","0","0","0","0","0","2","0","1","03","","N","","","","","","","","","","",""
"2023006295","1950","2","0","0","0","0","0","0","0","0","5","0","","67","09","2022","5","39.9937","-75.1185","1945","06","0","0","0","0","0","0","0","0","","0","0","0","19","4","0","00","N","0","39 59:37.390","","01","75 07:06.510","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6","01","","N","N","N","0","","0","0","0","0","0","","1930","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023012988","0540","1","0","0","0","0","0","0","0","0","4","0","","67","10","2022","2","40.0013","-75.2153","0531","06","0","0","0","0","0","0","1","0","","0","0","0","05","3","0","05","","0","40 00:04.744","","00","75 12:55.083","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1","09","","N","N","N","0","","0","0","1","3","2","","0530","0","2","0","0","2","0","0","2","0","2","07","07","N","","","","","","","","","","",""
"2023012670","1630","1","0","0","0","0","0","0","0","0","7","0","","67","12","2022","6","40.0052","-75.1959","1629","06","0","0","0","0","0","0","0","0","","0","0","0","16","1","3","07","","2","40 00:18.602","1","02","75 11:45.215","3","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","4","01","1718","N","N","N","0","","3","0","0","0","0","N","1625","3","1","0","0","0","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023012989","0134","2","0","0","0","0","0","0","0","0","1","0","","67","10","2022","2","39.964","-75.2403","0131","06","0","0","0","0","0","0","0","0","","0","0","0","01","3","1","00","N","1","39 57:50.480","5","00","75 14:25.220","3","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6","01","0255","N","N","N","1","","1","0","1","0","0","Y","0130","1","4","0","0","0","0","0","2","0","4","03","03","N","","","","","","","","","","",""
"2023006296","0945","0","0","0","0","0","0","0","0","0","8","0","","67","10","2022","7","39.9955","-75.1152","0942","06","0","0","0","0","0","1","0","0","","0","0","0","09","1","1","00","N","0","39 59:43.830","","00","75 06:54.800","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","01","","N","N","N","0","","1","0","1","3","2","","0940","1","2","0","0","1","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023004279","0432","1","0","0","0","0","0","0","0","0","1","0","","67","12","2022","7","40.0221","-75.0381","0420","06","0","0","0","0","0","0","0","0","","0","0","0","04","3","1","00","N","0","40 01:19.503","","00","75 02:17.184","4","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","1","","1","01","","N","N","N","0","","0","0","1","0","0","","0420","1","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023003928","0238","3","0","0","0","0","0","0","0","0","5","0","","67","12","2022","1","39.9926","-75.1305","0238","06","0","0","0","0","0","0","0","0","","0","0","0","02","3","0","00","N","0","39 59:33.310","","00","75 07:49.890","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","1","01","","N","N","N","0","","0","0","0","0","0","","0230","0","3","0","0","0","0","0","2","0","3","03","03","N","","","","","","","","","","",""
"2023006294","1712","0","0","0","0","0","0","0","0","0","8","0","","67","09","2022","4","39.9963","-75.1138","1708","06","0","0","0","0","0","0","0","0","","0","0","0","17","1","1","00","N","0","39 59:46.780","","01","75 06:49.530","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","09","","N","N","N","0","","1","0","1","0","0","","1707","1","2","0","0","1","0","0","2","0","1","07","04","N","","","","","","","","","","",""
